address;floor_count_max;is_alarm;built_year;Lat;Lon
д. г Навашино ул Соболева д.12;2.0;Нет;1954.0;52.013247;23.09971
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 42;2.0;Нет;1917.0;55.235595;43.095463
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 48;2.0;Нет;1977.0;55.234774;43.09496
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 51А;2.0;Нет;1977.0;55.233054;43.096613
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 52;2.0;Нет;1970.0;55.232484;43.094367
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 53.;2.0;Нет;1976.0;55.232905;43.095364
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 53А;2.0;Нет;1976.0;55.232905;43.095364
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 54.;2.0;Нет;1970.0;55.231925;43.094349
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 55;2.0;Нет;1977.0;55.232453;43.095346
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 56.;2.0;Нет;1971.0;55.231499;43.094376
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 57;2.0;Нет;1974.0;55.23194;43.095346
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 58.;2.0;Нет;1972.0;55.231083;43.094376
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 59;2.0;Нет;1974.0;55.231524;43.095337
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 60.;2.0;Нет;1973.0;55.23042;43.094367
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 61;2.0;Нет;1974.0;55.231093;43.095337
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 62;2.0;Нет;1980.0;55.22985;43.094358
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 63;2.0;Нет;1974.0;55.23042;43.095337
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 63А;2.0;Нет;1979.0;55.230651;43.096307
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 64А;2.0;Нет;1978.0;55.230328;43.096298
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 65;2.0;Нет;1983.0;55.229866;43.095373
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 65А;2.0;Нет;1984.0;55.230046;43.096245
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 67;2.0;Нет;1982.0;55.229173;43.096056
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. 30 лет ВЛКСМ, д. 68;2.0;Нет;1984.0;55.229404;43.09408
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Гоголя, д. 17.;2.0;Нет;1966.0;55.231966;43.089876
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Гоголя, д. 19.;2.0;Нет;1966.0;55.231653;43.089849
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Гоголя, д. 21.;2.0;Нет;1965.0;55.231262;43.089804
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Гоголя, д. 23.;2.0;Нет;1967.0;55.230893;43.089777
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Гоголя, д. 25;2.0;Нет;1978.0;55.230461;43.089723
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 50;2.0;Нет;1963.0;55.232736;43.091412
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 54.;2.0;Нет;1963.0;55.231955;43.091394
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 56.;2.0;Нет;1986.0;55.231601;43.091331
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 58.;2.0;Нет;1970.0;55.231196;43.091304
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 60.;2.0;Нет;1965.0;55.230867;43.091259
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 61.;2.0;Нет;1967.0;55.232459;43.092328
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 62;2.0;Нет;1966.0;55.230436;43.091214
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 62А.;2.0;Нет;1965.0;55.230395;43.090513
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 63.;2.0;Нет;1968.0;55.231961;43.092319
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 65.;2.0;Нет;1965.0;55.231565;43.092319
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 67.;2.0;Нет;1969.0;55.23118;43.09231
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 69.;2.0;Нет;1967.0;55.230831;43.09231
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 71.;2.0;Нет;1970.0;55.23041;43.092292
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 73.;2.0;Нет;1970.0;55.230338;43.093136
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Зуева, д. 75.;2.0;Нет;1971.0;55.230333;43.093864
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Крупской, д. 1;2.0;Нет;1982.0;55.232874;43.100116
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Крупской, д. 2;2.0;Нет;1978.0;55.232469;43.098643
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Крупской, д. 2А;2.0;Нет;1980.0;55.232484;43.097978
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Крупской, д. 4;2.0;Нет;1981.0;55.231309;43.098158
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Крупской, д. 5;2.0;Нет;1980.0;55.231309;43.099047
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Крупской, д. 6;2.0;Нет;1981.0;55.230754;43.097844
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Крупской, д. 7;2.0;Нет;1987.0;55.230621;43.098652
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Крупской, д. 8;3.0;Нет;1983.0;55.229881;43.097089
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Крупской, д. 9А;2.0;Нет;1988.0;55.229712;43.09964
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Крупской, д. 10;3.0;Нет;1983.0;55.229435;43.096882
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Крупской, д. 13;3.0;Нет;1983.0;55.228695;43.09761
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Крупской, д. 15;3.0;Нет;2017.0;55.228012;43.097296
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Ленина, д. 47;2.0;Нет;1960.0;55.239676;43.099227
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Ленина, д. 49;2.0;Нет;1960.0;55.239758;43.100098
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Льва Толстого, д. 9/1.;2.0;Нет;2011.0;55.229527;43.100727
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, пер. Медицинский 1-й, д. 4;3.0;Нет;1998.0;55.235272;43.108929
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Победы, д. 1.;2.0;Нет;1973.0;55.232387;43.093154
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Победы, д. 2.;2.0;Нет;1970.0;55.232012;43.093163
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Победы, д. 4.;2.0;Нет;1971.0;55.232012;43.093828
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Победы, д. 5;2.0;Нет;1980.0;55.232356;43.097116
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Победы, д. 7;2.0;Нет;1987.0;55.231909;43.101095
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Победы, д. 8;2.0;Нет;1985.0;55.231899;43.098131
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Победы, д. 9;2.0;Нет;1986.0;55.231714;43.102057
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Победы, д. 11;2.0;Нет;1989.0;55.231699;43.102937
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Победы, д. 12;2.0;Нет;1987.0;55.231519;43.100709
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Победы, д. 14;2.0;Нет;1988.0;55.231303;43.101805
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Победы, д. 16;2.0;Нет;1996.0;55.231108;43.102775
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Победы, д. 18;2.0;Нет;1996.0;55.230734;43.103602
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Советская, д. 10.;2.0;Нет;1982.0;55.248853;43.105587
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Суслова, д. 3;3.0;Нет;1984.0;55.238306;43.097233
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Суслова, д. 3Б;3.0;Нет;1987.0;55.238306;43.097233
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Суслова, д. 5;5.0;Нет;1989.0;55.238306;43.097233
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Суслова, д. 7;5.0;Нет;1989.0;55.238306;43.097233
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Суслова, д. 9;5.0;Нет;1991.0;55.238306;43.097233
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Суслова, д. 13;3.0;Нет;1989.0;55.238306;43.097233
обл. Нижегородская, р-н. Ардатовский, рп. Ардатов, ул. Суслова, д. 15;3.0;Нет;1987.0;55.238306;43.097233
